threat_type,severity,confidence_score,action_required,severity_encoded,threat_encoded,confidence_scaled,action_target
Ransomware_Behavior,Critical,0.85,ISOLATE,4,5,0.85,2
DDoS_Flood,Critical,0.85,ISOLATE,4,0,0.85,2
Routine_Update,None,0.16,NO_ACTION,0,6,0.16,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.3,NO_ACTION,0,6,0.3,0
Malware_C2,Critical,0.81,ISOLATE,4,2,0.81,2
Unauthorized_Access,Medium,0.47,MONITOR,2,7,0.47,1
Data_Exfiltration,High,0.46,MONITOR,3,1,0.46,1
Ransomware_Behavior,Critical,0.83,ISOLATE,4,5,0.83,2
Unauthorized_Access,High,0.64,MONITOR,3,7,0.64,1
Data_Exfiltration,Medium,0.49,MONITOR,2,1,0.49,1
Malware_C2,Critical,0.86,ISOLATE,4,2,0.86,2
Malware_C2,Critical,0.81,ISOLATE,4,2,0.81,2
Malware_C2,Critical,0.99,ISOLATE,4,2,0.99,2
Data_Exfiltration,Medium,0.6,MONITOR,2,1,0.6,1
Data_Exfiltration,Medium,0.58,MONITOR,2,1,0.58,1
Ransomware_Behavior,Critical,0.81,ISOLATE,4,5,0.81,2
Malware_C2,Critical,0.93,ISOLATE,4,2,0.93,2
Unauthorized_Access,Medium,0.53,MONITOR,2,7,0.53,1
Routine_Update,None,0.29,NO_ACTION,0,6,0.29,0
DDoS_Flood,Critical,0.9,ISOLATE,4,0,0.9,2
DDoS_Flood,Critical,0.87,ISOLATE,4,0,0.87,2
Data_Exfiltration,Medium,0.65,MONITOR,2,1,0.65,1
Normal_Heartbeat,None,0.28,NO_ACTION,0,3,0.28,0
Ransomware_Behavior,Critical,0.98,ISOLATE,4,5,0.98,2
Malware_C2,Critical,0.87,ISOLATE,4,2,0.87,2
Data_Exfiltration,Medium,0.51,MONITOR,2,1,0.51,1
Routine_Update,None,0.21,NO_ACTION,0,6,0.21,0
Data_Exfiltration,High,0.49,MONITOR,3,1,0.49,1
Ransomware_Behavior,Critical,0.82,ISOLATE,4,5,0.82,2
Routine_Update,None,0.17,NO_ACTION,0,6,0.17,0
Routine_Update,None,0.28,NO_ACTION,0,6,0.28,0
Data_Exfiltration,Medium,0.56,MONITOR,2,1,0.56,1
Ransomware_Behavior,Critical,0.98,ISOLATE,4,5,0.98,2
Normal_Heartbeat,None,0.17,NO_ACTION,0,3,0.17,0
Normal_Heartbeat,None,0.11,NO_ACTION,0,3,0.11,0
Unauthorized_Access,High,0.46,MONITOR,3,7,0.46,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
DDoS_Flood,Critical,0.82,ISOLATE,4,0,0.82,2
Data_Exfiltration,Medium,0.43,MONITOR,2,1,0.43,1
Malware_C2,Critical,0.84,ISOLATE,4,2,0.84,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Unauthorized_Access,Medium,0.66,MONITOR,2,7,0.66,1
Routine_Update,None,0.28,NO_ACTION,0,6,0.28,0
Data_Exfiltration,Medium,0.52,MONITOR,2,1,0.52,1
DDoS_Flood,Critical,0.97,ISOLATE,4,0,0.97,2
Data_Exfiltration,Medium,0.56,MONITOR,2,1,0.56,1
Unauthorized_Access,High,0.52,MONITOR,3,7,0.52,1
Unauthorized_Access,High,0.47,MONITOR,3,7,0.47,1
Ransomware_Behavior,Critical,0.82,ISOLATE,4,5,0.82,2
Ransomware_Behavior,Critical,0.94,ISOLATE,4,5,0.94,2
Routine_Update,None,0.18,NO_ACTION,0,6,0.18,0
Normal_Heartbeat,None,0.01,NO_ACTION,0,3,0.01,0
Unauthorized_Access,Medium,0.5,MONITOR,2,7,0.5,1
Ransomware_Behavior,Critical,0.87,ISOLATE,4,5,0.87,2
DDoS_Flood,Critical,0.88,ISOLATE,4,0,0.88,2
DDoS_Flood,Critical,0.82,ISOLATE,4,0,0.82,2
DDoS_Flood,Critical,0.93,ISOLATE,4,0,0.93,2
Ransomware_Behavior,Critical,0.9,ISOLATE,4,5,0.9,2
Malware_C2,Critical,0.98,ISOLATE,4,2,0.98,2
Routine_Update,None,0.08,NO_ACTION,0,6,0.08,0
Normal_Heartbeat,None,0.03,NO_ACTION,0,3,0.03,0
Normal_Heartbeat,None,0.24,NO_ACTION,0,3,0.24,0
Ransomware_Behavior,Critical,0.97,ISOLATE,4,5,0.97,2
Unauthorized_Access,High,0.62,MONITOR,3,7,0.62,1
Unauthorized_Access,Medium,0.5,MONITOR,2,7,0.5,1
Ransomware_Behavior,Critical,0.9,ISOLATE,4,5,0.9,2
Routine_Update,None,0.07,NO_ACTION,0,6,0.07,0
Routine_Update,None,0.16,NO_ACTION,0,6,0.16,0
Normal_Heartbeat,None,0.06,NO_ACTION,0,3,0.06,0
DDoS_Flood,Critical,0.99,ISOLATE,4,0,0.99,2
Ransomware_Behavior,Critical,0.95,ISOLATE,4,5,0.95,2
Routine_Update,None,0.17,NO_ACTION,0,6,0.17,0
Routine_Update,None,0.23,NO_ACTION,0,6,0.23,0
Unauthorized_Access,High,0.63,MONITOR,3,7,0.63,1
Data_Exfiltration,Medium,0.46,MONITOR,2,1,0.46,1
Ransomware_Behavior,Critical,0.95,ISOLATE,4,5,0.95,2
Ransomware_Behavior,Critical,0.89,ISOLATE,4,5,0.89,2
Routine_Update,None,0.06,NO_ACTION,0,6,0.06,0
DDoS_Flood,Critical,0.96,ISOLATE,4,0,0.96,2
Data_Exfiltration,Medium,0.6,MONITOR,2,1,0.6,1
Malware_C2,Critical,0.8,ISOLATE,4,2,0.8,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Normal_Heartbeat,None,0.17,NO_ACTION,0,3,0.17,0
DDoS_Flood,Critical,0.93,ISOLATE,4,0,0.93,2
Ransomware_Behavior,Critical,0.93,ISOLATE,4,5,0.93,2
DDoS_Flood,Critical,0.8,ISOLATE,4,0,0.8,2
Routine_Update,None,0.12,NO_ACTION,0,6,0.12,0
Ransomware_Behavior,Critical,0.83,ISOLATE,4,5,0.83,2
Unauthorized_Access,Medium,0.61,MONITOR,2,7,0.61,1
Routine_Update,None,0.29,NO_ACTION,0,6,0.29,0
Malware_C2,Critical,0.89,ISOLATE,4,2,0.89,2
Data_Exfiltration,Medium,0.53,MONITOR,2,1,0.53,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Data_Exfiltration,Medium,0.46,MONITOR,2,1,0.46,1
Ransomware_Behavior,Critical,0.98,ISOLATE,4,5,0.98,2
Unauthorized_Access,High,0.57,MONITOR,3,7,0.57,1
Ransomware_Behavior,Critical,0.96,ISOLATE,4,5,0.96,2
Routine_Update,None,0.23,NO_ACTION,0,6,0.23,0
Unauthorized_Access,High,0.48,MONITOR,3,7,0.48,1
Routine_Update,None,0.09,NO_ACTION,0,6,0.09,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Ransomware_Behavior,Critical,0.94,ISOLATE,4,5,0.94,2
Ransomware_Behavior,Critical,0.99,ISOLATE,4,5,0.99,2
Ransomware_Behavior,Critical,0.97,ISOLATE,4,5,0.97,2
Ransomware_Behavior,Critical,0.95,ISOLATE,4,5,0.95,2
Data_Exfiltration,Medium,0.42,MONITOR,2,1,0.42,1
Ransomware_Behavior,Critical,0.85,ISOLATE,4,5,0.85,2
Normal_Heartbeat,None,0.23,NO_ACTION,0,3,0.23,0
Data_Exfiltration,High,0.52,MONITOR,3,1,0.52,1
Malware_C2,Critical,0.85,ISOLATE,4,2,0.85,2
DDoS_Flood,Critical,0.83,ISOLATE,4,0,0.83,2
Ransomware_Behavior,Critical,0.92,ISOLATE,4,5,0.92,2
Unauthorized_Access,Medium,0.49,MONITOR,2,7,0.49,1
Normal_Heartbeat,None,0.09,NO_ACTION,0,3,0.09,0
DDoS_Flood,Critical,0.98,ISOLATE,4,0,0.98,2
Ransomware_Behavior,Critical,0.93,ISOLATE,4,5,0.93,2
Ransomware_Behavior,Critical,0.81,ISOLATE,4,5,0.81,2
Unauthorized_Access,High,0.45,MONITOR,3,7,0.45,1
Unauthorized_Access,High,0.68,MONITOR,3,7,0.68,1
DDoS_Flood,Critical,0.85,ISOLATE,4,0,0.85,2
Unauthorized_Access,Medium,0.58,MONITOR,2,7,0.58,1
Ransomware_Behavior,Critical,0.91,ISOLATE,4,5,0.91,2
Normal_Heartbeat,None,0.04,NO_ACTION,0,3,0.04,0
Malware_C2,Critical,0.98,ISOLATE,4,2,0.98,2
Ransomware_Behavior,Critical,0.82,ISOLATE,4,5,0.82,2
Data_Exfiltration,High,0.43,MONITOR,3,1,0.43,1
Unauthorized_Access,High,0.56,MONITOR,3,7,0.56,1
Malware_C2,Critical,0.89,ISOLATE,4,2,0.89,2
DDoS_Flood,Critical,0.85,ISOLATE,4,0,0.85,2
Normal_Heartbeat,None,0.18,NO_ACTION,0,3,0.18,0
Malware_C2,Critical,0.94,ISOLATE,4,2,0.94,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.13,NO_ACTION,0,6,0.13,0
DDoS_Flood,Critical,0.95,ISOLATE,4,0,0.95,2
DDoS_Flood,Critical,0.96,ISOLATE,4,0,0.96,2
Malware_C2,Critical,0.94,ISOLATE,4,2,0.94,2
Normal_Heartbeat,None,0.16,NO_ACTION,0,3,0.16,0
Data_Exfiltration,Medium,0.56,MONITOR,2,1,0.56,1
Malware_C2,Critical,0.92,ISOLATE,4,2,0.92,2
Data_Exfiltration,Medium,0.42,MONITOR,2,1,0.42,1
DDoS_Flood,Critical,0.87,ISOLATE,4,0,0.87,2
Unauthorized_Access,High,0.52,MONITOR,3,7,0.52,1
Normal_Heartbeat,None,0.01,NO_ACTION,0,3,0.01,0
Routine_Update,None,0.01,NO_ACTION,0,6,0.01,0
Malware_C2,Critical,0.87,ISOLATE,4,2,0.87,2
Normal_Heartbeat,None,0.06,NO_ACTION,0,3,0.06,0
DDoS_Flood,Critical,0.9,ISOLATE,4,0,0.9,2
Malware_C2,Critical,0.92,ISOLATE,4,2,0.92,2
Unauthorized_Access,Medium,0.52,MONITOR,2,7,0.52,1
Unauthorized_Access,Medium,0.49,MONITOR,2,7,0.49,1
DDoS_Flood,Critical,0.87,ISOLATE,4,0,0.87,2
Data_Exfiltration,High,0.64,MONITOR,3,1,0.64,1
Data_Exfiltration,Medium,0.67,MONITOR,2,1,0.67,1
Routine_Update,None,0.29,NO_ACTION,0,6,0.29,0
Data_Exfiltration,Medium,0.56,MONITOR,2,1,0.56,1
Malware_C2,Critical,0.86,ISOLATE,4,2,0.86,2
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.18,NO_ACTION,0,6,0.18,0
Unauthorized_Access,Medium,0.44,MONITOR,2,7,0.44,1
Malware_C2,Critical,0.93,ISOLATE,4,2,0.93,2
Malware_C2,Critical,0.95,ISOLATE,4,2,0.95,2
Routine_Update,None,0.07,NO_ACTION,0,6,0.07,0
DDoS_Flood,Critical,0.92,ISOLATE,4,0,0.92,2
DDoS_Flood,Critical,0.82,ISOLATE,4,0,0.82,2
Ransomware_Behavior,Critical,0.95,ISOLATE,4,5,0.95,2
DDoS_Flood,Critical,0.86,ISOLATE,4,0,0.86,2
DDoS_Flood,Critical,0.88,ISOLATE,4,0,0.88,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.98,ISOLATE,4,2,0.98,2
Normal_Heartbeat,None,0.05,NO_ACTION,0,3,0.05,0
Routine_Update,None,0.23,NO_ACTION,0,6,0.23,0
Malware_C2,Critical,0.83,ISOLATE,4,2,0.83,2
Normal_Heartbeat,None,0.1,NO_ACTION,0,3,0.1,0
Data_Exfiltration,Medium,0.47,MONITOR,2,1,0.47,1
Malware_C2,Critical,0.96,ISOLATE,4,2,0.96,2
DDoS_Flood,Critical,0.95,ISOLATE,4,0,0.95,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.07,NO_ACTION,0,6,0.07,0
Malware_C2,Critical,0.89,ISOLATE,4,2,0.89,2
Malware_C2,Critical,0.86,ISOLATE,4,2,0.86,2
Unauthorized_Access,Medium,0.56,MONITOR,2,7,0.56,1
Malware_C2,Critical,0.91,ISOLATE,4,2,0.91,2
Unauthorized_Access,High,0.46,MONITOR,3,7,0.46,1
Data_Exfiltration,Medium,0.48,MONITOR,2,1,0.48,1
Malware_C2,Critical,0.84,ISOLATE,4,2,0.84,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Unauthorized_Access,Medium,0.4,MONITOR,2,7,0.4,1
Routine_Update,None,0.15,NO_ACTION,0,6,0.15,0
Data_Exfiltration,High,0.4,MONITOR,3,1,0.4,1
Normal_Heartbeat,None,0.27,NO_ACTION,0,3,0.27,0
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
Data_Exfiltration,High,0.54,MONITOR,3,1,0.54,1
DDoS_Flood,Critical,0.93,ISOLATE,4,0,0.93,2
Malware_C2,Critical,0.83,ISOLATE,4,2,0.83,2
Normal_Heartbeat,None,0.04,NO_ACTION,0,3,0.04,0
Ransomware_Behavior,Critical,0.91,ISOLATE,4,5,0.91,2
Malware_C2,Critical,0.98,ISOLATE,4,2,0.98,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.84,ISOLATE,4,2,0.84,2
Ransomware_Behavior,Critical,0.84,ISOLATE,4,5,0.84,2
Data_Exfiltration,Medium,0.55,MONITOR,2,1,0.55,1
Routine_Update,None,0.14,NO_ACTION,0,6,0.14,0
Unauthorized_Access,High,0.63,MONITOR,3,7,0.63,1
Routine_Update,None,0.07,NO_ACTION,0,6,0.07,0
DDoS_Flood,Critical,0.97,ISOLATE,4,0,0.97,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.27,NO_ACTION,0,6,0.27,0
Ransomware_Behavior,Critical,0.95,ISOLATE,4,5,0.95,2
Routine_Update,None,0.16,NO_ACTION,0,6,0.16,0
Data_Exfiltration,High,0.67,MONITOR,3,1,0.67,1
Normal_Heartbeat,None,0.16,NO_ACTION,0,3,0.16,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.95,ISOLATE,4,2,0.95,2
Ransomware_Behavior,Critical,0.86,ISOLATE,4,5,0.86,2
Unauthorized_Access,High,0.66,MONITOR,3,7,0.66,1
Routine_Update,None,0.05,NO_ACTION,0,6,0.05,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.18,NO_ACTION,0,6,0.18,0
Normal_Heartbeat,None,0.1,NO_ACTION,0,3,0.1,0
DDoS_Flood,Critical,0.86,ISOLATE,4,0,0.86,2
Malware_C2,Critical,0.84,ISOLATE,4,2,0.84,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.93,ISOLATE,4,2,0.93,2
Data_Exfiltration,High,0.64,MONITOR,3,1,0.64,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Normal_Heartbeat,None,0.16,NO_ACTION,0,3,0.16,0
DDoS_Flood,Critical,0.86,ISOLATE,4,0,0.86,2
Normal_Heartbeat,None,0.3,NO_ACTION,0,3,0.3,0
Normal_Heartbeat,None,0.03,NO_ACTION,0,3,0.03,0
DDoS_Flood,Critical,0.93,ISOLATE,4,0,0.93,2
Malware_C2,Critical,0.93,ISOLATE,4,2,0.93,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.83,ISOLATE,4,2,0.83,2
Malware_C2,Critical,0.99,ISOLATE,4,2,0.99,2
Routine_Update,None,0.27,NO_ACTION,0,6,0.27,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Normal_Heartbeat,None,0.04,NO_ACTION,0,3,0.04,0
Data_Exfiltration,Medium,0.54,MONITOR,2,1,0.54,1
Ransomware_Behavior,Critical,0.92,ISOLATE,4,5,0.92,2
Data_Exfiltration,Medium,0.66,MONITOR,2,1,0.66,1
Ransomware_Behavior,Critical,0.99,ISOLATE,4,5,0.99,2
Data_Exfiltration,Medium,0.44,MONITOR,2,1,0.44,1
Normal_Heartbeat,None,0.22,NO_ACTION,0,3,0.22,0
Unauthorized_Access,Medium,0.53,MONITOR,2,7,0.53,1
Normal_Heartbeat,None,0.0,NO_ACTION,0,3,0.0,0
Routine_Update,None,0.25,NO_ACTION,0,6,0.25,0
Unauthorized_Access,High,0.49,MONITOR,3,7,0.49,1
Unauthorized_Access,High,0.65,MONITOR,3,7,0.65,1
DDoS_Flood,Critical,0.97,ISOLATE,4,0,0.97,2
Data_Exfiltration,Medium,0.46,MONITOR,2,1,0.46,1
Routine_Update,None,0.22,NO_ACTION,0,6,0.22,0
Malware_C2,Critical,0.81,ISOLATE,4,2,0.81,2
Data_Exfiltration,Medium,0.63,MONITOR,2,1,0.63,1
Ransomware_Behavior,Critical,0.95,ISOLATE,4,5,0.95,2
Normal_Heartbeat,None,0.09,NO_ACTION,0,3,0.09,0
DDoS_Flood,Critical,0.82,ISOLATE,4,0,0.82,2
DDoS_Flood,Critical,0.88,ISOLATE,4,0,0.88,2
Ransomware_Behavior,Critical,0.99,ISOLATE,4,5,0.99,2
DDoS_Flood,Critical,0.81,ISOLATE,4,0,0.81,2
Routine_Update,None,0.2,NO_ACTION,0,6,0.2,0
Unauthorized_Access,High,0.59,MONITOR,3,7,0.59,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Data_Exfiltration,High,0.48,MONITOR,3,1,0.48,1
DDoS_Flood,Critical,0.94,ISOLATE,4,0,0.94,2
Normal_Heartbeat,None,0.29,NO_ACTION,0,3,0.29,0
Malware_C2,Critical,0.86,ISOLATE,4,2,0.86,2
Unauthorized_Access,Medium,0.42,MONITOR,2,7,0.42,1
Data_Exfiltration,Medium,0.62,MONITOR,2,1,0.62,1
Normal_Heartbeat,None,0.13,NO_ACTION,0,3,0.13,0
Normal_Heartbeat,None,0.09,NO_ACTION,0,3,0.09,0
Data_Exfiltration,High,0.66,MONITOR,3,1,0.66,1
Unauthorized_Access,High,0.53,MONITOR,3,7,0.53,1
Ransomware_Behavior,Critical,0.82,ISOLATE,4,5,0.82,2
Data_Exfiltration,Medium,0.53,MONITOR,2,1,0.53,1
Normal_Heartbeat,None,0.02,NO_ACTION,0,3,0.02,0
Unauthorized_Access,High,0.7,MONITOR,3,7,0.7,1
Ransomware_Behavior,Critical,0.86,ISOLATE,4,5,0.86,2
Normal_Heartbeat,None,0.26,NO_ACTION,0,3,0.26,0
Malware_C2,Critical,0.83,ISOLATE,4,2,0.83,2
Malware_C2,Critical,0.91,ISOLATE,4,2,0.91,2
Ransomware_Behavior,Critical,0.87,ISOLATE,4,5,0.87,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
DDoS_Flood,Critical,0.9,ISOLATE,4,0,0.9,2
Normal_Heartbeat,None,0.16,NO_ACTION,0,3,0.16,0
Data_Exfiltration,High,0.62,MONITOR,3,1,0.62,1
Data_Exfiltration,High,0.67,MONITOR,3,1,0.67,1
Routine_Update,None,0.06,NO_ACTION,0,6,0.06,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.83,ISOLATE,4,2,0.83,2
Routine_Update,None,0.26,NO_ACTION,0,6,0.26,0
DDoS_Flood,Critical,0.95,ISOLATE,4,0,0.95,2
Routine_Update,None,0.06,NO_ACTION,0,6,0.06,0
Data_Exfiltration,High,0.61,MONITOR,3,1,0.61,1
Malware_C2,Critical,0.9,ISOLATE,4,2,0.9,2
Data_Exfiltration,High,0.66,MONITOR,3,1,0.66,1
Routine_Update,None,0.14,NO_ACTION,0,6,0.14,0
Routine_Update,None,0.29,NO_ACTION,0,6,0.29,0
Data_Exfiltration,Medium,0.53,MONITOR,2,1,0.53,1
Data_Exfiltration,High,0.5,MONITOR,3,1,0.5,1
DDoS_Flood,Critical,0.91,ISOLATE,4,0,0.91,2
Ransomware_Behavior,Critical,0.83,ISOLATE,4,5,0.83,2
Routine_Update,None,0.15,NO_ACTION,0,6,0.15,0
Data_Exfiltration,High,0.41,MONITOR,3,1,0.41,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Unauthorized_Access,High,0.62,MONITOR,3,7,0.62,1
Unauthorized_Access,Medium,0.52,MONITOR,2,7,0.52,1
DDoS_Flood,Critical,0.94,ISOLATE,4,0,0.94,2
DDoS_Flood,Critical,0.83,ISOLATE,4,0,0.83,2
Unauthorized_Access,High,0.49,MONITOR,3,7,0.49,1
Data_Exfiltration,Medium,0.57,MONITOR,2,1,0.57,1
Malware_C2,Critical,0.86,ISOLATE,4,2,0.86,2
Data_Exfiltration,Medium,0.44,MONITOR,2,1,0.44,1
DDoS_Flood,Critical,0.97,ISOLATE,4,0,0.97,2
Routine_Update,None,0.18,NO_ACTION,0,6,0.18,0
Malware_C2,Critical,0.98,ISOLATE,4,2,0.98,2
Data_Exfiltration,High,0.4,MONITOR,3,1,0.4,1
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
Unauthorized_Access,High,0.62,MONITOR,3,7,0.62,1
Normal_Heartbeat,None,0.29,NO_ACTION,0,3,0.29,0
Malware_C2,Critical,0.97,ISOLATE,4,2,0.97,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
Unauthorized_Access,Medium,0.63,MONITOR,2,7,0.63,1
Unauthorized_Access,High,0.63,MONITOR,3,7,0.63,1
Malware_C2,Critical,0.86,ISOLATE,4,2,0.86,2
Data_Exfiltration,Medium,0.6,MONITOR,2,1,0.6,1
Data_Exfiltration,Medium,0.59,MONITOR,2,1,0.59,1
DDoS_Flood,Critical,0.93,ISOLATE,4,0,0.93,2
Routine_Update,None,0.11,NO_ACTION,0,6,0.11,0
DDoS_Flood,Critical,0.82,ISOLATE,4,0,0.82,2
Normal_Heartbeat,None,0.09,NO_ACTION,0,3,0.09,0
Routine_Update,None,0.24,NO_ACTION,0,6,0.24,0
Ransomware_Behavior,Critical,0.96,ISOLATE,4,5,0.96,2
Ransomware_Behavior,Critical,0.96,ISOLATE,4,5,0.96,2
Ransomware_Behavior,Critical,0.94,ISOLATE,4,5,0.94,2
Routine_Update,None,0.07,NO_ACTION,0,6,0.07,0
DDoS_Flood,Critical,0.92,ISOLATE,4,0,0.92,2
Normal_Heartbeat,None,0.27,NO_ACTION,0,3,0.27,0
Ransomware_Behavior,Critical,0.97,ISOLATE,4,5,0.97,2
Ransomware_Behavior,Critical,0.84,ISOLATE,4,5,0.84,2
Routine_Update,None,0.08,NO_ACTION,0,6,0.08,0
DDoS_Flood,Critical,0.96,ISOLATE,4,0,0.96,2
DDoS_Flood,Critical,0.93,ISOLATE,4,0,0.93,2
Routine_Update,None,0.07,NO_ACTION,0,6,0.07,0
Normal_Heartbeat,None,0.08,NO_ACTION,0,3,0.08,0
DDoS_Flood,Critical,0.97,ISOLATE,4,0,0.97,2
Normal_Heartbeat,None,0.08,NO_ACTION,0,3,0.08,0
Routine_Update,None,0.17,NO_ACTION,0,6,0.17,0
Ransomware_Behavior,Critical,0.95,ISOLATE,4,5,0.95,2
Normal_Heartbeat,None,0.25,NO_ACTION,0,3,0.25,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
DDoS_Flood,Critical,0.88,ISOLATE,4,0,0.88,2
Routine_Update,None,0.0,NO_ACTION,0,6,0.0,0
Unauthorized_Access,Medium,0.68,MONITOR,2,7,0.68,1
Ransomware_Behavior,Critical,0.92,ISOLATE,4,5,0.92,2
Ransomware_Behavior,Critical,0.98,ISOLATE,4,5,0.98,2
DDoS_Flood,Critical,0.81,ISOLATE,4,0,0.81,2
Unauthorized_Access,High,0.55,MONITOR,3,7,0.55,1
Data_Exfiltration,Medium,0.67,MONITOR,2,1,0.67,1
Malware_C2,Critical,0.89,ISOLATE,4,2,0.89,2
Unauthorized_Access,High,0.46,MONITOR,3,7,0.46,1
Unauthorized_Access,Medium,0.46,MONITOR,2,7,0.46,1
Normal_Heartbeat,None,0.19,NO_ACTION,0,3,0.19,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Normal_Heartbeat,None,0.17,NO_ACTION,0,3,0.17,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.1,NO_ACTION,0,6,0.1,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Routine_Update,None,0.18,NO_ACTION,0,6,0.18,0
Malware_C2,Critical,0.93,ISOLATE,4,2,0.93,2
DDoS_Flood,Critical,0.94,ISOLATE,4,0,0.94,2
Ransomware_Behavior,Critical,0.86,ISOLATE,4,5,0.86,2
Normal_Heartbeat,None,0.13,NO_ACTION,0,3,0.13,0
Routine_Update,None,0.27,NO_ACTION,0,6,0.27,0
Malware_C2,Critical,0.83,ISOLATE,4,2,0.83,2
Malware_C2,Critical,0.85,ISOLATE,4,2,0.85,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Ransomware_Behavior,Critical,0.88,ISOLATE,4,5,0.88,2
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
Unauthorized_Access,Medium,0.56,MONITOR,2,7,0.56,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Ransomware_Behavior,Critical,0.82,ISOLATE,4,5,0.82,2
DDoS_Flood,Critical,0.99,ISOLATE,4,0,0.99,2
DDoS_Flood,Critical,0.94,ISOLATE,4,0,0.94,2
Normal_Heartbeat,None,0.08,NO_ACTION,0,3,0.08,0
Data_Exfiltration,High,0.64,MONITOR,3,1,0.64,1
Data_Exfiltration,High,0.55,MONITOR,3,1,0.55,1
Malware_C2,Critical,0.86,ISOLATE,4,2,0.86,2
Unauthorized_Access,High,0.5,MONITOR,3,7,0.5,1
Malware_C2,Critical,0.84,ISOLATE,4,2,0.84,2
Unauthorized_Access,Medium,0.58,MONITOR,2,7,0.58,1
Normal_Heartbeat,None,0.14,NO_ACTION,0,3,0.14,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.82,ISOLATE,4,2,0.82,2
Malware_C2,Critical,0.9,ISOLATE,4,2,0.9,2
DDoS_Flood,Critical,0.97,ISOLATE,4,0,0.97,2
Malware_C2,Critical,0.84,ISOLATE,4,2,0.84,2
Data_Exfiltration,High,0.6,MONITOR,3,1,0.6,1
DDoS_Flood,Critical,0.93,ISOLATE,4,0,0.93,2
DDoS_Flood,Critical,0.82,ISOLATE,4,0,0.82,2
Routine_Update,None,0.15,NO_ACTION,0,6,0.15,0
DDoS_Flood,Critical,0.92,ISOLATE,4,0,0.92,2
Data_Exfiltration,High,0.63,MONITOR,3,1,0.63,1
Routine_Update,None,0.17,NO_ACTION,0,6,0.17,0
DDoS_Flood,Critical,0.95,ISOLATE,4,0,0.95,2
Malware_C2,Critical,0.9,ISOLATE,4,2,0.9,2
Routine_Update,None,0.21,NO_ACTION,0,6,0.21,0
